,postal_code,is_open,RestaurantsTakeOut,RestaurantsDelivery,BusinessAcceptsCreditCards,HighPriceRange,OutdoorSeating,RestaurantsReservations,RestaurantsGoodForGroups,HasTV,Alcohol,GoodForKids,Restaurants,Food,Nightlife,Bars,Sandwiches,Pizza,American (New),Breakfast & Brunch,American (Traditional),Coffee & Tea,Italian,Chinese,Fast Food,Burgers,Seafood,Cafes,Mexican,Delis,Event Planning & Services,Salad,Specialty Food,Chicken Wings,Bakeries,Japanese,Asian Fusion,Vegetarian,Caterers,Desserts,Sushi Bars,Mediterranean,Cheesesteaks,Pubs,touristy,hipster,romantic,divey,intimate,trendy,upscale,classy,casual,garage,street,validated,lot,valet,days_open,avg_hours_open,yelp_score,zip,median_income,mean_income,RestaurantsAttire_casual,RestaurantsAttire_dressy,RestaurantsAttire_formal,RestaurantsAttire_other,WiFi_free,WiFi_no,WiFi_paid,HighMedianIncome,HighMeanIncome
36,19102.0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,6.0,3.504806704435377,19102.0,110096.0,177851.0,0,1,0,0,0,1,0,1,1
37,19130.0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,7,11.142857142857142,4.413049294887938,19130.0,88858.0,121662.0,1,0,0,0,1,0,0,1,1
38,19104.0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,24.0,3.512242075358852,19104.0,28603.0,46430.0,1,0,0,0,1,0,0,0,0
39,19107.0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,15.714285714285714,2.6919934132852794,19107.0,60676.0,91522.0,1,0,0,0,1,0,0,1,1
40,19107.0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,11.285714285714286,3.941353705877043,19107.0,60676.0,91522.0,1,0,0,0,1,0,0,1,1
41,19128.0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,12.321428571428571,3.114463129749508,19128.0,76854.0,95665.0,1,0,0,0,0,1,0,1,1
42,19134.0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,7,9.285714285714286,4.192639367975965,19134.0,34374.0,47673.0,0,0,0,1,1,0,0,0,0
43,19127.0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10.285714285714286,3.527016993895397,19127.0,74936.0,104604.0,1,0,0,0,0,1,0,1,1
44,19111.0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,7,9.821428571428571,4.398334560176665,19111.0,51567.0,69823.0,1,0,0,0,1,0,0,0,0
45,19107.0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,7,10.0,3.987542069785504,19107.0,60676.0,91522.0,1,0,0,0,1,0,0,1,1
